,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
79,0081,44.415905,8.872672,1,0.0,0.0,4.0,4.0,21.0,1.0,6.0,1.0,0.0,4.0,1.0,1.0,27.0,5.0,1.0,6.0,82.0,780.0
80,0082,44.416164,8.875899,1,0.0,0.0,7.0,5.0,31.0,1.0,5.0,0.0,0.0,5.0,1.0,1.0,25.0,6.0,2.0,15.0,104.0,780.0
81,0083,44.414421000000004,8.883149000000001,1,1.0,1.0,14.0,6.0,44.0,0.0,9.0,0.0,7.0,16.0,5.0,5.0,38.0,24.0,3.0,28.0,201.0,845.0
82,0084,44.412739,8.884516,1,1.0,1.0,14.0,7.0,47.0,1.0,15.0,3.0,10.0,17.0,3.0,5.0,37.0,29.0,3.0,27.0,220.0,845.0
83,0085,44.411839,8.886524,1,0.0,1.0,8.0,5.0,43.0,2.0,18.0,3.0,12.0,13.0,3.0,6.0,37.0,25.0,4.0,21.0,201.0,1025.0
84,0086,44.412663,8.889579,1,0.0,1.0,6.0,5.0,44.0,2.0,20.0,4.0,13.0,13.0,3.0,6.0,34.0,29.0,6.0,21.0,207.0,1025.0
85,0087,44.411552,8.893597999999999,1,0.0,0.0,4.0,4.0,42.0,3.0,25.0,4.0,10.0,9.0,4.0,8.0,28.0,20.0,3.0,8.0,172.0,1025.0
86,0088,44.410374,8.898428,1,0.0,1.0,7.0,3.0,39.0,2.0,13.0,4.0,6.0,7.0,4.0,6.0,32.0,14.0,2.0,26.0,166.0,1025.0
87,0089,44.411728000000004,8.906962,1,0.0,2.0,4.0,2.0,36.0,5.0,2.0,5.0,2.0,11.0,3.0,2.0,30.0,10.0,7.0,13.0,134.0,1225.0
88,0090,44.412426,8.909649,1,0.0,2.0,3.0,2.0,28.0,4.0,1.0,5.0,2.0,11.0,3.0,2.0,28.0,10.0,9.0,10.0,120.0,1275.0
89,0091,44.413937,8.91233,1,0.0,1.0,3.0,2.0,30.0,2.0,3.0,6.0,2.0,9.0,2.0,2.0,29.0,16.0,8.0,9.0,124.0,1275.0
90,0092,44.415248999999996,8.918525,1,0.0,0.0,11.0,0.0,43.0,3.0,4.0,34.0,10.0,14.0,4.0,1.0,27.0,34.0,32.0,13.0,230.0,1275.0
91,0093,44.413757000000004,8.925360000000001,1,0.0,1.0,22.0,1.0,30.0,4.0,4.0,40.0,25.0,27.0,12.0,4.0,24.0,26.0,43.0,26.0,289.0,1210.0
92,0094,44.405772999999996,8.945749000000001,1,0.0,1.0,20.0,14.0,42.0,7.0,14.0,29.0,38.0,22.0,4.0,12.0,34.0,33.0,12.0,31.0,313.0,1475.0
93,0096,44.412113,8.885444,1,1.0,1.0,13.0,7.0,46.0,2.0,18.0,3.0,13.0,16.0,3.0,7.0,38.0,25.0,3.0,27.0,223.0,1025.0
94,0097,44.428444,8.769557,0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,2.0,27.0,820.0
95,0099,44.414932,8.933002,1,0.0,2.0,29.0,3.0,28.0,8.0,4.0,25.0,17.0,26.0,8.0,7.0,25.0,15.0,29.0,14.0,240.0,1325.0
96,0100,44.412346,8.909227,1,0.0,2.0,3.0,2.0,28.0,6.0,1.0,3.0,2.0,10.0,2.0,2.0,28.0,11.0,9.0,10.0,119.0,1275.0
97,0101,44.411095,8.904682000000001,1,0.0,4.0,5.0,1.0,39.0,5.0,2.0,4.0,4.0,7.0,5.0,4.0,25.0,10.0,3.0,26.0,144.0,1225.0
98,0102,44.410545,8.898829,1,0.0,1.0,7.0,3.0,38.0,2.0,13.0,4.0,6.0,7.0,5.0,6.0,32.0,13.0,2.0,27.0,166.0,1025.0
99,0103,44.411552,8.895111,1,0.0,0.0,5.0,3.0,33.0,3.0,21.0,4.0,10.0,7.0,4.0,8.0,26.0,10.0,3.0,10.0,147.0,1025.0
100,0104,44.412224,8.891919999999999,1,0.0,0.0,5.0,5.0,39.0,3.0,23.0,4.0,10.0,11.0,2.0,5.0,31.0,28.0,5.0,12.0,183.0,1025.0
101,0105,44.413094,8.888226,1,0.0,1.0,6.0,5.0,46.0,2.0,19.0,4.0,13.0,14.0,3.0,8.0,38.0,29.0,6.0,23.0,217.0,1025.0
102,0107,44.410866,8.885847,1,0.0,1.0,7.0,3.0,41.0,2.0,17.0,3.0,11.0,11.0,3.0,5.0,39.0,27.0,1.0,21.0,192.0,845.0
103,0108,44.409626,8.890583,1,0.0,0.0,3.0,2.0,40.0,3.0,15.0,3.0,8.0,8.0,0.0,4.0,27.0,25.0,2.0,14.0,154.0,785.0
104,0109,44.408524,8.897611999999999,1,0.0,1.0,7.0,3.0,40.0,1.0,10.0,2.0,5.0,7.0,3.0,6.0,28.0,11.0,0.0,24.0,148.0,785.0
105,0110,44.408901,8.900669,1,0.0,3.0,6.0,3.0,42.0,5.0,5.0,4.0,6.0,7.0,5.0,5.0,31.0,9.0,1.0,30.0,162.0,1225.0
106,0111,44.420563,8.969794,0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,20.0,910.0
107,0112,44.416748,8.921897,1,0.0,0.0,17.0,1.0,39.0,2.0,3.0,38.0,14.0,19.0,5.0,2.0,21.0,34.0,43.0,12.0,250.0,1120.0
